what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1648925584901
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1648925584901
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1648925584901
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1648925584901
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1648925584901
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1648925584901
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1648925584901
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1648925584901
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1648925584901
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1648925584901
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1648925584901
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1648925584917
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1648925584917
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1648925584917
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1648925584917
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1648925584917
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1648925584917
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1648925584917
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1648925584917
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1648925584917
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1648925584917
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1648925584917
os,sysinfo,,,"win32",1648925584917
arch,sysinfo,,,"x86",1648925584917
ws,sysinfo,,,"win32",1648925584917
locale,sysinfo,,,"en_US",1648925584917
processors,sysinfo,,,"12",1648925584917
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648925584917
java.runtime.version,sysinfo,,,"1.7.0-b147",1648925584917
java.specification.name,sysinfo,,,"Java Platform API Specification",1648925584917
java.specification.vendor,sysinfo,,,"Oracle Corporation",1648925584917
java.specification.version,sysinfo,,,"1.7",1648925584917
java.vendor,sysinfo,,,"Oracle Corporation",1648925584917
java.version,sysinfo,,,"1.7.0",1648925584917
java.vm.info,sysinfo,,,"mixed mode",1648925584917
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648925584917
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648925584917
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1648925584917
java.vm.specification.version,sysinfo,,,"1.7",1648925584917
java.vm.vendor,sysinfo,,,"Oracle Corporation",1648925584917
java.vm.version,sysinfo,,,"21.0-b17",1648925584917
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1648925585200
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925604186
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1648925606933
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1648925607086
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1648925607099
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1648925607137
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1648925607372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925607827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925611320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925611620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925613951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925616742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925619079
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925619550
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1648925619973
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1648925620067
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1648925620067
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1648925620067
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1648925631256
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1648925631256
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1648925631256
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1648925631256
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1648925631256
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1648925631256
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1648925631256
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1648925631256
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1648925631256
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1648925631256
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1648925631256
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1648925631256
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1648925631256
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1648925631256
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1648925631256
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1648925631256
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1648925631256
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1648925631256
started,bundle,org.eclipse.emf.common,2.7.0.v20110605-0747,"org.eclipse.emf.common",1648925631256
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1648925631256
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1648925631271
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1648925631271
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1648925631271
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1648925631271
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1648925631271
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1648925631271
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1648925631271
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1648925631271
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1648925631271
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1648925631271
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1648925631271
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1648925631271
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1648925631271
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1648925631271
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1648925631271
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1648925631271
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1648925631271
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1648925631271
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1648925631271
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1648925631271
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1648925631271
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1648925631271
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1648925631271
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1648925631271
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1648925631271
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1648925631271
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1648925631271
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1648925631271
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1648925631271
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1648925631271
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1648925631271
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1648925631271
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1648925631271
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1648925631271
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1648925631271
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1648925631271
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1648925631271
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1648925631287
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1648925631287
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1648925631287
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1648925631287
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1648925631287
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1648925631287
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1648925631287
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1648925631287
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1648925631287
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1648925631287
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1648925631287
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1648925631287
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1648925631287
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1648925631287
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1648925631287
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1648925631287
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1648925631287
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1648925631287
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1648925631287
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1648925631287
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1648925631287
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1648925631287
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1648925631287
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1648925631287
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1648925631287
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1648925631287
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1648925631287
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1648925631287
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1648925631287
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1648925631302
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1648925631302
os,sysinfo,,,"win32",1648925631302
arch,sysinfo,,,"x86",1648925631302
ws,sysinfo,,,"win32",1648925631302
locale,sysinfo,,,"en_US",1648925631302
processors,sysinfo,,,"12",1648925631302
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648925631302
java.runtime.version,sysinfo,,,"1.7.0-b147",1648925631302
java.specification.name,sysinfo,,,"Java Platform API Specification",1648925631302
java.specification.vendor,sysinfo,,,"Oracle Corporation",1648925631302
java.specification.version,sysinfo,,,"1.7",1648925631302
java.vendor,sysinfo,,,"Oracle Corporation",1648925631302
java.version,sysinfo,,,"1.7.0",1648925631302
java.vm.info,sysinfo,,,"mixed mode",1648925631302
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648925631302
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648925631302
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1648925631302
java.vm.specification.version,sysinfo,,,"1.7",1648925631302
java.vm.vendor,sysinfo,,,"Oracle Corporation",1648925631302
java.vm.version,sysinfo,,,"21.0-b17",1648925631302
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1648925631679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925652181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925654288
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1648925656913
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1648925657063
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1648925657074
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1648925657086
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1648925657149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925657589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925663106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925669103
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1648925669262
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1648925669262
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1648925669276
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1648925669276
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1648925669292
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1648925669292
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1648925671494
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1648925671604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925672342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925681218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925691982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925694924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925698949
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1648925701474
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1648925715405
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1648925715465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1648925721320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1648925727855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925735918
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1648925741495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1648925744297
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1648925749882
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1648925749902
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1648925749929
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1648925749929
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1648925749929
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1648925749945
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1648925749945
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1648925749976
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1648925749976
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1648925750165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925787917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925798802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925801649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925806600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925818048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925820677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925823394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925841910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925844731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925847928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925876674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925879728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925886947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925900049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925903334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925907531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925924939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925927938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925943521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648925958920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925961717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648925964833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648926027177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926030526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926037256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648926041313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926044037
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926056455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648926063249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926066016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926070918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926081884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926101057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648926107228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926110852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926116024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926119843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926123710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648926128891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926131852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926137654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648926147598
